# 21aefx_opt-mangled.dat                 writespec.pro: Wed Oct 19 12:26:28 2022
# wavelength(um) flux(mJy)
     0.373840     0.053701177
     0.373933     0.055950135
     0.374026     0.047518575
     0.374120     0.046094299
     0.374213     0.034970955
     0.374306     0.011481268
     0.374399     0.022071234
     0.374492     0.044066275
     0.374586     0.043141553
     0.374679     0.036150895
     0.374772     0.028978134
     0.374865     0.019494436
     0.374958     0.023598252
     0.375052     0.031423228
     0.375145     0.031903289
     0.375238     0.025393843
     0.375331     0.022926661
     0.375425     0.027958147
     0.375518     0.031874747
     0.375611     0.036888485
     0.375704     0.042978089
     0.375797     0.037817556
     0.375891     0.028915414
     0.375984     0.034062927
     0.376077     0.036584134
     0.376170     0.032065920
     0.376264     0.023545580
     0.376357    0.0067734151
     0.376450    0.0052568780
     0.376543     0.015282558
     0.376636     0.012426366
     0.376730     0.013473387
     0.376823     0.017955273
     0.376916     0.025297287
     0.377009     0.031542456
     0.377103     0.027318381
     0.377196     0.033780032
     0.377289     0.033155857
     0.377382     0.024135397
     0.377475     0.026406569
     0.377569     0.029477972
     0.377662     0.031586453
     0.377755     0.028267718
     0.377848     0.036002236
     0.377941     0.035577207
     0.378035     0.032769988
     0.378128     0.027665676
     0.378221     0.018012473
     0.378314     0.019453374
     0.378408     0.028297497
     0.378501     0.021269942
     0.378594    0.0075669467
     0.378687     0.011519419
     0.378780     0.018030230
     0.378874     0.022329426
     0.378967     0.026920068
     0.379060     0.021302421
     0.379153     0.013752058
     0.379247     0.012953752
     0.379340     0.019042161
     0.379433     0.021758424
     0.379526     0.014425534
     0.379619    0.0024111116
     0.379713    0.0095330225
     0.379806     0.027314277
     0.379899     0.028557098
     0.379992     0.015980030
     0.380086    0.0097280674
     0.380179    0.0070572065
     0.380272   0.00046164134
     0.380365    0.0089397344
     0.380458     0.017435040
     0.380552     0.012232425
     0.380645     0.012248862
     0.380738     0.012532594
     0.380831    0.0097014681
     0.380925     0.013677790
     0.381018     0.016963858
     0.381111    0.0094513252
     0.381204     0.010170707
     0.381297     0.020186069
     0.381391     0.010225779
     0.381484    0.0092321277
     0.381577     0.015698128
     0.381670     0.013966832
     0.381763     0.018968144
     0.381857    0.0056386934
     0.381950   -0.0050354302
     0.382043   -0.0041310641
     0.382136   -0.0029819579
     0.382230     0.010422013
     0.382323     0.011658921
     0.382416    0.0055486657
     0.382509    0.0027312564
     0.382602    0.0053786917
     0.382696     0.020316843
     0.382789     0.028143664
     0.382882     0.017148459
     0.382975    0.0069899271
     0.383069    0.0081506889
     0.383162    0.0052764251
     0.383255    0.0047395537
     0.383348     0.017070895
     0.383441     0.024865033
     0.383535     0.015110507
     0.383628     0.014995885
     0.383721     0.018391630
     0.383814     0.013402413
     0.383907     0.011475693
     0.384001     0.023289026
     0.384094     0.021765993
     0.384187     0.020174382
     0.384280     0.025303488
     0.384374     0.033987293
     0.384467     0.029390747
     0.384560     0.017388563
     0.384653     0.016154948
     0.384746     0.016461792
     0.384840     0.010131035
     0.384933     0.018309571
     0.385026     0.034113472
     0.385119     0.028362269
     0.385213     0.016898577
     0.385306    0.0096479604
     0.385399     0.011960304
     0.385492     0.018389632
     0.385585     0.013992990
     0.385679    0.0034206830
     0.385772    0.0094272299
     0.385865    0.0084236487
     0.385958    0.0067969644
     0.386052     0.013160140
     0.386145     0.020657292
     0.386238     0.017845292
     0.386331     0.020284188
     0.386424     0.023132107
     0.386518     0.027060376
     0.386611     0.038264816
     0.386704     0.045503222
     0.386797     0.041123299
     0.386891     0.033757958
     0.386984     0.030152906
     0.387077     0.030986908
     0.387170     0.041624221
     0.387263     0.048120371
     0.387357     0.036854509
     0.387450     0.034276148
     0.387543     0.036343746
     0.387636     0.037547223
     0.387729     0.042976111
     0.387823     0.049942510
     0.387916     0.046479719
     0.388009     0.042475666
     0.388102     0.037007120
     0.388196     0.029033316
     0.388289     0.038666120
     0.388382     0.041923850
     0.388475     0.045325163
     0.388568     0.039806985
     0.388662     0.044849498
     0.388755     0.065693332
     0.388848     0.065005740
     0.388941     0.054324144
     0.389035     0.049774408
     0.389128     0.046945778
     0.389221     0.055338966
     0.389314     0.053120309
     0.389407     0.044615123
     0.389501     0.054271687
     0.389594     0.047144742
     0.389687     0.053191373
     0.389780     0.068791629
     0.389874     0.061982863
     0.389967     0.051589934
     0.390060     0.063871471
     0.390153     0.064862017
     0.390246     0.071748824
     0.390340     0.068704605
     0.390433     0.059669663
     0.390526     0.057097917
     0.390619     0.043855633
     0.390712     0.042573022
     0.390806     0.060056117
     0.390899     0.076312806
     0.390992     0.070018139
     0.391085     0.056848951
     0.391179     0.059037729
     0.391272     0.062985955
     0.391365     0.059588553
     0.391458     0.059897403
     0.391551     0.068430945
     0.391645     0.071037474
     0.391738     0.062116216
     0.391831     0.057712887
     0.391924     0.054593409
     0.392018     0.051283425
     0.392111     0.053003041
     0.392204     0.062455734
     0.392297     0.075332276
     0.392390     0.083784437
     0.392484     0.082700537
     0.392577     0.081004734
     0.392670     0.075281282
     0.392763     0.070168962
     0.392857     0.074302823
     0.392950     0.066103200
     0.393043     0.057591358
     0.393136     0.066662076
     0.393229     0.078747070
     0.393323     0.085059196
     0.393416     0.084497512
     0.393509     0.073419281
     0.393602     0.073089408
     0.393696     0.090252706
     0.393789     0.092029562
     0.393882     0.080716830
     0.393975     0.066994566
     0.394068     0.079443580
     0.394162     0.075289600
     0.394255     0.078594435
     0.394348     0.079413005
     0.394441     0.078146453
     0.394534     0.074552215
     0.394628     0.073609027
     0.394721     0.082209028
     0.394814     0.087710940
     0.394907     0.084287885
     0.395001     0.078289088
     0.395094     0.076661608
     0.395187     0.077753717
     0.395280     0.069964116
     0.395373     0.063534745
     0.395467     0.067998407
     0.395560     0.074838820
     0.395653     0.082568244
     0.395746     0.087626396
     0.395840     0.088807579
     0.395933     0.096240957
     0.396026      0.10691845
     0.396119     0.098549077
     0.396212     0.079740242
     0.396306     0.074475823
     0.396399     0.078761348
     0.396492     0.090051773
     0.396585     0.099474194
     0.396679     0.094056639
     0.396772     0.083334952
     0.396865     0.082182501
     0.396958     0.092632820
     0.397051     0.098659309
     0.397145     0.090319400
     0.397238     0.094297923
     0.397331      0.10332007
     0.397424     0.097113949
     0.397517     0.094940334
     0.397611      0.10019044
     0.397704     0.091849114
     0.397797     0.087193149
     0.397890     0.094383549
     0.397984     0.085749058
     0.398077     0.078330046
     0.398170     0.078616276
     0.398263     0.082877593
     0.398356     0.098376467
     0.398450      0.10161285
     0.398543     0.097376313
     0.398636     0.083272488
     0.398729     0.082744041
     0.398823     0.078712862
     0.398916     0.074693282
     0.399009     0.090966672
     0.399102     0.097082924
     0.399195     0.095514972
     0.399289     0.096186104
     0.399382     0.096811746
     0.399475     0.099911177
     0.399568     0.095483450
     0.399662     0.086253726
     0.399755     0.088956907
     0.399848     0.091257917
     0.399941     0.088416396
     0.400034     0.093603978
     0.400128     0.092748099
     0.400221     0.084245535
     0.400314     0.079015995
     0.400407     0.079474028
     0.400500     0.081410542
     0.400594     0.093409590
     0.400687     0.094816764
     0.400780     0.089880254
     0.400873     0.084165485
     0.400967     0.084177409
     0.401060     0.089083958
     0.401153     0.083476296
     0.401246     0.093308498
     0.401339     0.096861870
     0.401433     0.099840624
     0.401526     0.095408018
     0.401619     0.086640661
     0.401712     0.087111476
     0.401806     0.090392010
     0.401899     0.090176002
     0.401992     0.095504799
     0.402085     0.094708409
     0.402178     0.079652480
     0.402272     0.083507228
     0.402365     0.085579064
     0.402458     0.081968307
     0.402551     0.080408403
     0.402645     0.084261114
     0.402738     0.075001730
     0.402831     0.070093215
     0.402924     0.073891465
     0.403017     0.076256157
     0.403111     0.078514475
     0.403204     0.079966236
     0.403297     0.078655423
     0.403390     0.081955526
     0.403483     0.082266307
     0.403577     0.081118830
     0.403670     0.080348000
     0.403763     0.079238580
     0.403856     0.079083137
     0.403950     0.081334443
     0.404043     0.082494966
     0.404136     0.084686613
     0.404229     0.085203362
     0.404322     0.076639951
     0.404416     0.073952003
     0.404509     0.075252190
     0.404602     0.077458530
     0.404695     0.079414278
     0.404789     0.091220440
     0.404882     0.089692800
     0.404975     0.079061392
     0.405068     0.083981003
     0.405161     0.085511485
     0.405255     0.088890141
     0.405348     0.093828783
     0.405441     0.084757479
     0.405534     0.079838439
     0.405628     0.077230821
     0.405721     0.076001731
     0.405814     0.080395961
     0.405907     0.082375617
     0.406000     0.075998472
     0.406094     0.070893458
     0.406187     0.073792536
     0.406280     0.081574687
     0.406373     0.094031788
     0.406466     0.099444727
     0.406560     0.094222350
     0.406653     0.090593900
     0.406746     0.076214685
     0.406839     0.071630362
     0.406933     0.078202935
     0.407026     0.085068025
     0.407119     0.079535796
     0.407212     0.075125028
     0.407305     0.072916551
     0.407399     0.076810004
     0.407492     0.077059263
     0.407585     0.078611499
     0.407678     0.083119130
     0.407772     0.086125390
     0.407865     0.085002336
     0.407958     0.079219073
     0.408051     0.078174289
     0.408144     0.080884871
     0.408238     0.079352625
     0.408331     0.074347126
     0.408424     0.075301362
     0.408517     0.081431697
     0.408611     0.078060460
     0.408704     0.076752449
     0.408797     0.082466580
     0.408890     0.080139713
     0.408983     0.077245003
     0.409077     0.085554585
     0.409170     0.093018913
     0.409263     0.091525690
     0.409356     0.087766126
     0.409449     0.094812066
     0.409543     0.082435630
     0.409636     0.081271787
     0.409729     0.083089502
     0.409822     0.083634009
     0.409916     0.083638404
     0.410009     0.070876694
     0.410102     0.073187181
     0.410195     0.082409911
     0.410288     0.077264992
     0.410382     0.074564729
     0.410475     0.081165744
     0.410568     0.086963902
     0.410661     0.089734548
     0.410755     0.082595630
     0.410848     0.061950121
     0.410941     0.065138034
     0.411034     0.075716948
     0.411127     0.074229780
     0.411221     0.071790888
     0.411314     0.069197073
     0.411407     0.068402157
     0.411500     0.071764069
     0.411594     0.074829453
     0.411687     0.083291622
     0.411780     0.082609776
     0.411873     0.080613208
     0.411966     0.078865593
     0.412060     0.084119786
