# wavelength(um) flux(mJy)
4.566109999999999891e-01 5.105889999999999596e-01
4.569819999999999993e-01 5.267840000000000300e-01
4.573530000000000095e-01 5.457870000000000221e-01
4.577240000000000197e-01 5.692289999999999850e-01
4.580949999999999744e-01 5.970290000000000319e-01
4.584659999999999846e-01 5.994819999999999593e-01
4.588380000000000236e-01 6.467610000000000303e-01
4.592080000000000051e-01 6.652000000000000135e-01
4.595799999999999885e-01 6.814569999999999794e-01
4.599500000000000255e-01 7.059889999999999777e-01
4.603209999999999802e-01 7.294439999999999813e-01
4.606919999999999904e-01 7.624950000000000339e-01
4.610630000000000006e-01 7.717600000000000016e-01
4.614340000000000108e-01 7.915689999999999671e-01
4.618059999999999943e-01 8.212329999999999908e-01
4.621770000000000045e-01 8.561189999999999634e-01
4.625480000000000147e-01 8.674359999999999848e-01
4.629190000000000249e-01 8.816370000000000040e-01
4.632890000000000064e-01 9.095130000000000159e-01
4.636609999999999898e-01 9.239829999999999988e-01
4.640310000000000268e-01 9.443230000000000235e-01
4.644030000000000102e-01 9.691140000000000310e-01
4.647740000000000204e-01 9.776690000000000103e-01
4.651449999999999751e-01 9.819630000000000303e-01
4.655159999999999854e-01 1.008920000000000039e+00
4.658869999999999956e-01 1.030860000000000110e+00
4.662580000000000058e-01 1.030899999999999928e+00
4.666290000000000160e-01 1.042820000000000080e+00
4.670000000000000262e-01 1.066109999999999891e+00
4.673709999999999809e-01 1.071760000000000046e+00
4.677419999999999911e-01 1.078629999999999978e+00
4.681130000000000013e-01 1.080039999999999889e+00
4.684840000000000115e-01 1.081560000000000077e+00
4.688550000000000217e-01 1.082840000000000025e+00
4.692259999999999764e-01 1.070200000000000040e+00
4.695969999999999867e-01 1.083069999999999977e+00
4.699679999999999969e-01 1.063239999999999963e+00
4.703390000000000071e-01 1.073010000000000019e+00
4.707100000000000173e-01 1.067970000000000086e+00
4.710810000000000275e-01 1.054669999999999996e+00
4.714519999999999822e-01 1.052950000000000053e+00
4.718229999999999924e-01 1.052959999999999896e+00
4.721940000000000026e-01 1.032820000000000071e+00
4.725650000000000128e-01 1.032699999999999951e+00
4.729360000000000230e-01 1.012990000000000057e+00
4.733069999999999777e-01 9.853020000000000111e-01
4.736779999999999879e-01 9.873720000000000274e-01
4.740489999999999982e-01 9.583040000000000447e-01
4.744200000000000084e-01 9.459279999999999911e-01
4.747910000000000186e-01 9.185039999999999871e-01
4.751619999999999733e-01 9.013020000000000476e-01
4.755329999999999835e-01 8.917509999999999604e-01
4.759039999999999937e-01 8.722440000000000193e-01
4.762750000000000039e-01 8.443880000000000274e-01
4.766460000000000141e-01 8.093669999999999476e-01
4.770170000000000243e-01 8.085959999999999814e-01
4.773879999999999790e-01 7.668719999999999981e-01
4.777589999999999892e-01 7.605680000000000218e-01
4.781299999999999994e-01 7.290100000000000469e-01
4.785010000000000097e-01 7.040589999999999904e-01
4.788720000000000199e-01 6.771049999999999569e-01
4.792429999999999746e-01 6.484929999999999861e-01
4.796139999999999848e-01 6.288909999999999778e-01
4.799849999999999950e-01 6.009630000000000249e-01
4.803560000000000052e-01 5.854639999999999844e-01
4.807270000000000154e-01 5.691230000000000455e-01
4.810980000000000256e-01 5.510450000000000070e-01
4.814689999999999803e-01 5.238279999999999603e-01
4.818399999999999905e-01 5.246520000000000072e-01
4.822110000000000007e-01 4.935140000000000082e-01
4.825820000000000110e-01 4.833819999999999784e-01
4.829530000000000212e-01 4.669860000000000122e-01
4.833239999999999759e-01 4.359990000000000254e-01
4.836949999999999861e-01 4.255200000000000093e-01
4.840659999999999963e-01 4.088629999999999765e-01
4.844370000000000065e-01 4.083109999999999795e-01
4.848080000000000167e-01 3.853659999999999863e-01
4.851790000000000269e-01 3.898170000000000246e-01
4.855499999999999816e-01 3.689720000000000222e-01
