# wavelength(um) flux(mJy)
9.298494150754824661e-01 2.073927686564549788e-01
9.424926648996844181e-01 2.406017775175530726e-01
9.554491726181534306e-01 1.959356848197342238e-01
9.687388784622034121e-01 1.792974602654223149e-01
9.823561258013810971e-01 1.662557822767230242e-01
9.963017070511621665e-01 1.049381828241651576e-01
1.010578533231609066e+00 7.129471391102421007e-02
1.025187689305673722e+00 8.352359532278214038e-02
1.040128502999975169e+00 6.688065121831628101e-02
1.055398626707038323e+00 3.880961716767299813e-02
1.070994130708445624e+00 2.324692448815017520e-02
1.086909605881932306e+00 1.837720374451995778e-02
1.103138274015808884e+00 1.557508473540340603e-02
1.119672103871027780e+00 1.416475949581742604e-02
1.136509385307702624e+00 1.323601586819142355e-02
1.153634671200855388e+00 8.894763340832174958e-03
1.171039131817746659e+00 5.616335655605471898e-03
1.188712579250931212e+00 4.443290149486439633e-03
1.206641662646940949e+00 4.945319796959147217e-03
1.224811661159868281e+00 8.267832123845565012e-03
1.243213510172802794e+00 3.705679114442381183e-02
1.261827988248740651e+00 9.124572664041226411e-02
1.280640999235116650e+00 1.009095588121312059e-01
1.299638698924911351e+00 7.719267999143511472e-02
1.318805661051989375e+00 6.139476465402483180e-02
1.338125061979223762e+00 4.751256468020324808e-02
1.357581529962219369e+00 2.442007210858539515e-02
1.377159739306161867e+00 2.183566330885557127e-02
1.396844546140219245e+00 1.666932533522240412e-02
1.416621104794390629e+00 8.836598953695656497e-03
1.436474965695317962e+00 5.537764817536980529e-03
1.456392155942469069e+00 4.617438155976602045e-03
1.476359243882165106e+00 4.993164597186259233e-03
1.496363389101157404e+00 8.021255812109509553e-03
1.516392379301660265e+00 1.888621719538545463e-02
1.536434655524939297e+00 4.231306745793116803e-02
1.556479327152931358e+00 5.528535358140618944e-02
1.576516178058127826e+00 4.221939623500872707e-02
1.596535665189477982e+00 3.485717653872483918e-02
1.616528910791869000e+00 4.524278434282447831e-02
1.636487689349900077e+00 7.694094359583787679e-02
1.656404410247338532e+00 8.746085743359999221e-02
1.676272097025647501e+00 8.343769619892935085e-02
1.696084364023455748e+00 5.553477418379190039e-02
1.715835391080446026e+00 4.249585079149549582e-02
1.735519896899397674e+00 4.002643144080144516e-02
1.755133111573991656e+00 4.259227014668973826e-02
1.774670351951993519e+00 3.721089963749209945e-02
1.794127957636033832e+00 4.574542354091652718e-02
1.813502600940920084e+00 5.745559970562177238e-02
1.832791270058705013e+00 5.502702222054241948e-02
1.851991328630983480e+00 2.804716652606681002e-02
1.871100490104334657e+00 1.371067218382267423e-02
1.890116793018551622e+00 1.491852745972664998e-02
1.909037198533986901e+00 2.250498979449851861e-02
1.927861409384490354e+00 3.238844136432789123e-02
1.946588387805672005e+00 3.761178727509197073e-02
1.965217245513070754e+00 3.844912606304250885e-02
1.983745387071315758e+00 3.291790641101596110e-02
2.002173807957936535e+00 3.597173414650640250e-02
2.020502463093936996e+00 3.432847613938290465e-02
2.038729201311557215e+00 3.931733639424545013e-02
2.056855188286315084e+00 3.404721851497768959e-02
2.074881011658559871e+00 2.611221972265838354e-02
2.092804228143249734e+00 2.083765965720806371e-02
2.110628059545312851e+00 2.514391958246752629e-02
2.128350287314523026e+00 3.235859793143218421e-02
2.145973147859073560e+00 3.812509368401537091e-02
2.163495719158232689e+00 4.211151873437518622e-02
2.180919635167360315e+00 5.176457142166208253e-02
2.198244249360726155e+00 6.381824633004229419e-02
2.215471848836897184e+00 6.922995657012795401e-02
2.232600735414042248e+00 6.954943481721224952e-02
2.249634425894034617e+00 8.560529067823363647e-02
2.266570958168812044e+00 6.773469490253987424e-02
2.283412901987844190e+00 5.890336746249787842e-02
2.300161441891102054e+00 3.939502828552331887e-02
2.316814803125591293e+00 3.281501956795276898e-02
2.333376455371632741e+00 3.801798330760766675e-02
2.349847129345754126e+00 4.134052176274308904e-02
2.365125223857013292e+00 4.412349584844939970e-02
2.381420583892609688e+00 4.164340858730231076e-02
2.397626527819916920e+00 3.438824671027135293e-02
2.413744739157291264e+00 2.426203520416711154e-02
2.429775368986226258e+00 1.403588505314668985e-02
2.445719788912732895e+00 7.545614814103948284e-03
2.461578658996837365e+00 5.528320155330296130e-03
2.477352929995516373e+00 5.139043250972343858e-03
2.493043809372605057e+00 4.813707014966165862e-03
2.508652158352641326e+00 5.552694203580328322e-03
2.524178712120615398e+00 6.111150035908529711e-03
2.539624228193626099e+00 5.012254921818868475e-03
2.554989886888078043e+00 5.045047698152391354e-03
2.570276559166793984e+00 4.979997179254290127e-03
2.585485116114971671e+00 5.902825070148530646e-03
2.600616428102606736e+00 5.564921319746726942e-03
2.615671364011803224e+00 3.901985875660046819e-03
2.630650790524611704e+00 4.585164063479335583e-03
2.645555571467331557e+00 4.094409673578987101e-03
2.660386567208927300e+00 4.976099726866179546e-03
2.675144634108300501e+00 7.207704397102172866e-03
